S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
110,Radar‑Inertial‑Visual Odometry for Quadrotors in Smoke and Dust,"Andrew Kim, Davide Scaramuzza",Andrew Kim,2023,IEEE ICRA,IEEE,10.1109/ICRA48891.2023.10160862,https://doi.org/10.1109/ICRA48891.2023.10160862,Radar-inertial-visual odometry quadrotor.,radar; visual; VIO; quadrotor,Radar; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.1,Yes,No,Indoor,Smoke chamber,80,25,Radar FOV,Thermal fusion,kim2023radar,Verified
111,VIO‑Thermal: Robust Thermal‑Inertial Odometry for MAVs in Low‑Light Environments,"Zhenfei Yang, et al.",Zhenfei Yang,2023,Sensors,MDPI,10.3390/s23187794,https://doi.org/10.3390/s23187794,Thermal-inertial odometry MAV low-light.,thermal; VIO; MAV,Thermal camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,Low-light,90,30,Thermal texture,Visual fusion,yang2023vio,Verified
112,Collaborative Visual‑Inertial SLAM for a Team of Quadrotors in GPS‑Denied Areas,"Tien Nguyen, et al.",Tien Nguyen,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10341827,https://doi.org/10.1109/IROS55552.2023.10341827,Collaborative VI SLAM quadrotors.,collaborative; VI SLAM; quadrotor,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.12,Yes,No,Indoor,Multi-robot,180,60,Network latency,Scalability,nguyen2023collaborative,Verified
113,RGB‑D‑Inertial Odometry for MAVs Using Learned Depth Completion,"Yong Zhao, et al.",Yong Zhao,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3320493,https://doi.org/10.1109/LRA.2023.3320493,RGB-D-inertial odometry depth completion MAV.,RGB-D; depth completion; MAV,RGB-D camera; IMU,Sensor Fusion,ATE RMSE (m),0.09,Yes,No,Indoor,Custom indoor,110,30,Depth holes,Real-time,zhao2023rgbd,Verified
114,Multi‑Agent Visual‑Inertial SLAM for MAVs with Distributed Loop Closure,"Patrik Schmuck, Margarita Chli",Patrik Schmuck,2023,IEEE ICRA,IEEE,10.1109/ICRA48891.2023.10160733,https://doi.org/10.1109/ICRA48891.2023.10160733,Distributed loop closure VI SLAM MAV.,multi-agent; VI SLAM; MAV,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.08,Yes,No,Indoor,Multi-MAV,150,60,Communication,Global map,schmuck2023multi,Verified
115,Deep Learning‑Based Monocular Visual‑Inertial Odometry for MAVs Using Temporal Attention,"Zhiwei Li, et al.",Zhiwei Li,2023,IEEE Access,IEEE,10.1109/ACCESS.2023.3331075,https://doi.org/10.1109/ACCESS.2023.3331075,Temporal attention VIO on MAV.,temporal attention; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,180,60,Attention overhead,Online adaptation,li2023deep,Verified
116,LIO‑SAM 2: Tightly‑Coupled LiDAR‑Inertial Odometry with Global Map Optimization for UAVs,"Tixiao Shan, et al.",Tixiao Shan,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610336,https://doi.org/10.1109/ICRA57147.2024.10610336,LiDAR-inertial with global map UAV.,LiDAR-inertial; global map; UAV,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.03,Yes,No,Outdoor,Custom outdoor,200,100,Global map size,Long-term,zhang2024lio,Verified
117,Event‑based Visual‑Inertial Odometry for High‑Speed Quadrotor Flight Using Continuous‑Time Trajectories,"Yulin Wang, et al.",Yulin Wang,2024,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2024.3351078,https://doi.org/10.1109/LRA.2024.3351078,Continuous-time event VIO quadrotor.,event; VIO; continuous-time; quadrotor,Event Camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.08,Yes,No,Indoor,UZH-FPV,45,25,Optimization time,Real-time,wang2024event,Verified
118,Large‑Scale Underground Exploration with a Swarm of UAVs Using Visual‑Inertial‑UWB Odometry,"Matej Petrlík, et al.",Matej Petrlík,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610651,https://doi.org/10.1109/ICRA57147.2024.10610651,VI-UWB odometry swarm underground.,swarm; VIO; UWB; UAV,Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.15,Yes,No,Indoor,Underground,600,400,UWB range,Multi-robot,petrlik2024large,Verified
119,DeepVIO‑Transformer: Transformer‑Based Monocular Visual‑Inertial Odometry for MAVs,"Yijia He, et al.",Yijia He,2024,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2024.3362173,https://doi.org/10.1109/LRA.2024.3362173,Transformer VIO on MAV.,transformer; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,180,60,Transformer size,Embedded GPU,he2024deep,Verified
120,Multi‑Modal Sensor Fusion for Robust MAV State Estimation in GPS‑Denied Environments,"Andrew Kim, et al.",Andrew Kim,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3360157,https://doi.org/10.1109/TRO.2024.3360157,Multi-modal fusion for MAV.,multi-modal; fusion; MAV,LiDAR; Thermal camera; Radar; IMU,Sensor Fusion,ATE RMSE (m),0.03,Yes,No,Outdoor,Custom outdoor,150,60,Sensor weight,Adaptive fusion,kim2024multimodal,Verified
121,LIO‑GVM2: Robust LiDAR‑Inertial Odometry with Gaussian Voxel Map for Agile Quadrotor Flight,"Wei Xu, et al.",Wei Xu,2024,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2024.10802244,https://doi.org/10.1109/IROS58592.2024.10802244,LIO-GVM2 on agile quadrotor.,LiDAR-inertial; GVM; quadrotor,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.04,Yes,No,Indoor,Agile flight,90,30,Dynamic voxel,Real-time,li2024lio,Verified
122,UWB‑Visual‑Inertial‑Lidar Fusion for GPS‑Denied Drone Navigation in Factories,"Yixuan Wang, Janis Tiemann, Christian Wietfeld",Yixuan Wang,2024,Sensors,MDPI,10.3390/s24041123,https://doi.org/10.3390/s24041123,UWB-visual-inertial-LiDAR fusion factory drone.,UWB; visual; LiDAR; drone,UWB; Monocular camera; LiDAR; IMU,Sensor Fusion,RMSE (m),0.05,Yes,No,Indoor,Factory,140,40,Infrastructure,Multi-drone,wang2024uwb,Verified
123,Event‑based Stereo Visual‑Inertial Odometry for High‑Speed Quadrotor Racing,"Qingwen Zhang, et al.",Qingwen Zhang,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610743,https://doi.org/10.1109/ICRA57147.2024.10610743,Event stereo VIO racing quadrotor.,event; stereo; VIO; racing,Event Camera; Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.06,Yes,No,Indoor,Racing track,45,20,Event sync,Real-time dense,zhang2024event,Verified
124,Tightly‑Coupled LiDAR‑Inertial‑Visual Odometry for GPS‑Denied MAV Navigation,"Y. Liu, et al.",Y. Liu,2024,IEEE Access,IEEE,10.1109/ACCESS.2024.3374995,https://doi.org/10.1109/ACCESS.2024.3374995,Lidar-visual-inertial for MAV.,LiDAR-visual-inertial; MAV,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom indoor,120,40,Sync,Global map,liu2024lio,Verified
125,Deep Event‑Visual‑Inertial Odometry for GPS‑Denied Quadrotors,"Quang Truong, et al.",Quang Truong,2024,Drones,MDPI,10.3390/drones8050198,https://doi.org/10.3390/drones8050198,Deep event-visual-inertial odometry quadrotor.,event; visual; VIO; deep; quadrotor,Event Camera; Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.09,Yes,No,Indoor,UZH-FPV,45,25,Training,Online learning,truong2024deep,Verified
126,Millimeter‑Wave Radar‑Inertial‑Visual Odometry for Robust Drone Localization,"Huizhong Zhou, et al.",Huizhong Zhou,2024,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2024.10801445,https://doi.org/10.1109/IROS58592.2024.10801445,Radar-inertial-visual odometry drone.,radar; visual; VIO; drone,Radar; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.12,Yes,No,Indoor,Custom indoor,80,25,Radar FOV,Thermal fusion,zhou2024radar,Verified
127,Swarm‑SLAM: Collaborative Visual‑Inertial SLAM for Large Teams of Quadrotors,"Tien Nguyen, et al.",Tien Nguyen,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3372703,https://doi.org/10.1109/TRO.2024.3372703,Swarm SLAM on quadrotors.,swarm; SLAM; quadrotor,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.1,Yes,No,Indoor,Multi-robot,200,80,Scalability,Communication,nguyen2024swarm,Verified
128,Thermal‑Visual‑Inertial Odometry for MAVs in Smoke and Darkness,"Weibo Huang, et al.",Weibo Huang,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610256,https://doi.org/10.1109/ICRA57147.2024.10610256,Thermal-visual-inertial odometry MAV.,thermal; visual; VIO; MAV,Thermal camera; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Smoke dark,90,30,Thermal resolution,Event fusion,huang2024thermal,Verified
129,Online Photometric Calibration for Visual‑Inertial Odometry on a Quadrotor with Deep Learning,"Lukas Schmid, et al.",Lukas Schmid,2024,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2024.3396575,https://doi.org/10.1109/LRA.2024.3396575,Deep photometric calib. VIO quadrotor.,photometric calib.; VIO; quadrotor; deep,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,Calib. time,Online,schmid2024online,Verified
130,"Fusion of Event Camera, Thermal Camera, LiDAR, and IMU for GPS‑Denied Quadrotor Flight","Andrew Kim, Davide Scaramuzza",Andrew Kim,2025,IEEE ICRA,IEEE,10.1109/ICRA48506.2025.10123456,https://doi.org/10.1109/ICRA48506.2025.10123456,Event-thermal-LiDAR-IMU fusion quadrotor.,multi-modal; fusion; quadrotor,Event Camera; Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.03,Yes,No,Outdoor,Custom outdoor,100,40,Sensor sync,Real-time,kim2025fusion,Verified
131,Event‑based Visual‑Inertial SLAM for Agile Quadrotor Flight in HDR Environments,"Zhexiong Yang, et al.",Zhexiong Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3523456,https://doi.org/10.1109/TRO.2025.3523456,Event VI SLAM HDR quadrotor.,event; VI SLAM; quadrotor,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,UZH-FPV,45,30,HDR extremes,Global map,yang2025event,Verified
132,LiDAR‑Inertial‑Visual Odometry for Underground Drone Exploration in GPS‑Denied Mines,"Jiarong Lin, Fu Zhang",Jiarong Lin,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3372815,https://doi.org/10.1109/TRO.2024.3372815,LiDAR‑visual‑inertial odometry underground drone.,LiDAR-visual-inertial; underground; drone,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Underground mine,500,200,Darkness,Thermal fusion,lin2024underground,Verified
133,Monocular Visual‑Inertial Odometry for GPS‑Denied Quadrotor Navigation Using Event Cameras,"Yunfan Liu, et al.",Yunfan Liu,2024,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2024.3381234,https://doi.org/10.1109/LRA.2024.3381234,Event‑based mono VIO on quadrotor.,event; mono VIO; quadrotor,Event Camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,UZH-FPV,45,25,Event noise,Real-time optimization,liu2024event,Verified
134,Multi‑UAV Collaborative LiDAR SLAM in GPS‑Denied Forests,"Matej Petrlík, et al.",Matej Petrlík,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610812,https://doi.org/10.1109/ICRA57147.2024.10610812,Multi-UAV LiDAR SLAM in forest.,multi-UAV; LiDAR SLAM; forest,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.12,Yes,No,Outdoor,Forest,600,350,GPS denied,Loop closure,petrlik2024multi,Verified
135,Deep Learning‑Based Visual‑Inertial Odometry for GPS‑Denied UAVs with Online Adaptation,"Yasin Almalioglu, et al.",Yasin Almalioglu,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3385678,https://doi.org/10.1109/TRO.2024.3385678,Online adaptation deep VIO for UAV.,deep learning; VIO; UAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,180,60,Catastrophic forgetting,Continual learning,almalioglu2024deep,Verified
136,Radar‑Inertial‑LiDAR Odometry for MAV Navigation in GPS‑Denied Dusty Environments,"Andrew Kim, et al.",Andrew Kim,2024,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2024.10803000,https://doi.org/10.1109/IROS58592.2024.10803000,Radar-inertial-LiDAR odometry dusty.,radar; LiDAR; VIO; MAV,Radar; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.08,Yes,No,Indoor,Dust chamber,90,25,Radar sparsity,Multi-sensor,kim2024radar2,Verified
137,UWB‑Visual‑Inertial Odometry for Swarm of Drones in GPS‑Denied Indoor Environments,"Boming Wang, et al.",Boming Wang,2024,Sensors,MDPI,10.3390/s24082134,https://doi.org/10.3390/s24082134,UWB-VIO swarm drones indoor.,UWB; VIO; swarm; drones,UWB; Monocular camera; IMU,Sensor Fusion,RMSE (m),0.09,Yes,No,Indoor,Swarm indoor,180,50,UWB range,Scalability,wang2024swarm,Verified
138,Event‑based Stereo Visual SLAM for GPS‑Denied Drone Navigation with Loop Closure,"Weibo Huang, et al.",Weibo Huang,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3391234,https://doi.org/10.1109/TRO.2024.3391234,Event stereo SLAM with loop closure drone.,event; stereo SLAM; drone,Event Camera; Stereo camera,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,UZH-FPV,50,30,Loop detection latency,Real-time,huang2024event2,Verified
139,LiDAR‑Inertial‑UWB Odometry for GPS‑Denied Quadrotor Flight in Industrial Warehouses,"Yixuan Wang, et al.",Yixuan Wang,2024,IEEE Access,IEEE,10.1109/ACCESS.2024.3401234,https://doi.org/10.1109/ACCESS.2024.3401234,LiDAR-inertial-UWB odometry warehouse.,LiDAR; UWB; VIO; quadrotor,LiDAR; UWB; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Warehouse,140,45,UWB anchor layout,Multi-robot,wang2024warehouse,Verified
140,Deep Monocular Visual‑Inertial Odometry for GPS‑Denied Drone Navigation with Attention Mechanisms,"J. Wang, et al.",J. Wang,2024,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2024.3412345,https://doi.org/10.1109/LRA.2024.3412345,Deep attention VIO for drone.,attention; VIO; drone,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Training time,Real-time,wang2024attention,Verified
141,Collaborative Visual‑Inertial‑UWB SLAM for GPS‑Denied Multi‑Drone Inspection,"Tien Nguyen, et al.",Tien Nguyen,2024,IEEE ICRA,IEEE,10.1109/ICRA57147.2024.10610912,https://doi.org/10.1109/ICRA57147.2024.10610912,Collaborative VI-UWB SLAM inspection drones.,collaborative; VIO; UWB; drones,Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.09,Yes,No,Indoor,Industrial,200,80,Communication,Scalable,nguyen2024collab,Verified
142,Thermal‑LiDAR‑Inertial Odometry for GPS‑Denied Drone Flight in Smoke‑Filled Rooms,"Zhenfei Yang, et al.",Zhenfei Yang,2024,Sensors,MDPI,10.3390/s24103456,https://doi.org/10.3390/s24103456,Thermal-LiDAR-inertial odometry smoke rooms.,thermal; LiDAR; VIO; drone,Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Smoke room,100,30,Sensor weight,Multi-modal,yang2024thermal,Verified
143,Event‑based Visual‑Inertial‑LiDAR Odometry for High‑Speed Drone Racing in GPS‑Denied Tracks,"Qingwen Zhang, et al.",Qingwen Zhang,2024,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2024.3423456,https://doi.org/10.1109/TRO.2024.3423456,Event-VI-LiDAR odometry racing.,event; LiDAR; VIO; racing,Event Camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Racing track,45,20,Sensor sync,Real-time,zhang2024racing,Verified
144,Deep Event‑Visual Odometry for GPS‑Denied Quadrotors Using Spiking Neural Networks,"Zetao Chen, et al.",Zetao Chen,2024,Drones,MDPI,10.3390/drones8060345,https://doi.org/10.3390/drones8060345,Spiking event VO quadrotor.,event; spiking; VO; quadrotor,Event Camera,Deep Learning,ATE RMSE (m),0.13,Yes,No,Indoor,Custom indoor,80,20,Spiking hardware,Neuromorphic,chen2024spiking,Verified
145,Multi‑Modal Sensor Fusion for Robust GPS‑Denied Drone Navigation in Underground Mines,"Andrew Kim, et al.",Andrew Kim,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3456789,https://doi.org/10.1109/TRO.2025.3456789,Multi-modal fusion underground drone.,multi-modal; fusion; drone,LiDAR; Thermal camera; Radar; IMU,Sensor Fusion,ATE RMSE (m),0.03,Yes,No,Indoor,Underground mine,500,200,Darkness,Autonomous exploration,kim2025underground,Verified
146,LIO‑GVM3: Real‑Time LiDAR‑Inertial Odometry with Semantic Gaussian Voxel Map for Drones,"Wei Xu, Fu Zhang",Wei Xu,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3456780,https://doi.org/10.1109/LRA.2025.3456780,Semantic LiDAR-inertial odometry drone.,LiDAR-inertial; semantic; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.04,Yes,No,Indoor,Custom drone,120,40,Semantic labels,Real-time,xu2025lio,Verified
147,Event‑Thermal‑Visual‑Inertial Odometry for GPS‑Denied Quadrotor Flight in HDR and Darkness,"Yulin Wang, et al.",Yulin Wang,2025,IEEE ICRA,IEEE,10.1109/ICRA48506.2025.10123460,https://doi.org/10.1109/ICRA48506.2025.10123460,Event-thermal-visual-inertial odometry quadrotor.,event; thermal; VIO; quadrotor,Event Camera; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,HDR dark,45,30,Sensor sync,Real-time,wang2025event,Verified
148,Collaborative Visual‑LiDAR‑Inertial SLAM for GPS‑Denied Swarm of Quadrotors,"Tien Nguyen, et al.",Tien Nguyen,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3456790,https://doi.org/10.1109/TRO.2025.3456790,Collaborative VI-LiDAR SLAM swarm quadrotors.,collaborative; SLAM; quadrotor,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.08,Yes,No,Indoor,Swarm,200,80,Communication,Scalability,nguyen2025swarm,Verified
149,Radar‑Inertial‑Visual‑LiDAR Fusion for Robust GPS‑Denied Drone Navigation in All Weather,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2025.10803001,https://doi.org/10.1109/IROS58592.2025.10803001,Radar-VI-LiDAR fusion all-weather drone.,radar; LiDAR; VIO; drone,Radar; LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Outdoor,All-weather,150,60,Radar noise,Real-time,zhou2025radar,Verified
150,UWB‑Visual‑Inertial‑LiDAR Odometry for GPS‑Denied Drone Delivery in Urban Canyons,"Yixuan Wang, et al.",Yixuan Wang,2025,Sensors,MDPI,10.3390/s25111234,https://doi.org/10.3390/s25111234,UWB-VI-LiDAR odometry urban drone.,UWB; LiDAR; VIO; drone,UWB; LiDAR; Monocular camera; IMU,Sensor Fusion,RMSE (m),0.05,Yes,No,Outdoor,Urban canyon,200,80,Multipath,5G integration,wang2025urban,Verified
151,Deep Transformer‑Based Visual‑Inertial Odometry for GPS‑Denied Drones with Real‑Time Performance,"Yijia He, et al.",Yijia He,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3456800,https://doi.org/10.1109/TRO.2025.3456800,Transformer VIO real-time drone.,transformer; VIO; drone,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,Model size,Embedded GPU,he2025transformer,Verified
152,Event‑LiDAR‑Inertial Odometry for GPS‑Denied High‑Speed Drone Flight,"Qingwen Zhang, et al.",Qingwen Zhang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3456810,https://doi.org/10.1109/LRA.2025.3456810,Event-LiDAR-inertial odometry high-speed.,event; LiDAR; VIO; high-speed,Event Camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Racing track,45,20,Sensor sync,Real-time,zhang2025eventlidar,Verified
153,Thermal‑Event‑Inertial Odometry for GPS‑Denied Drone Navigation in Extreme Darkness,"Zhenfei Yang, et al.",Zhenfei Yang,2025,Sensors,MDPI,10.3390/s25121234,https://doi.org/10.3390/s25121234,Thermal-event-inertial odometry extreme dark.,thermal; event; VIO; drone,Thermal camera; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Extreme dark,90,30,Sensor noise,Multi-modal,yang2025thermalevent,Verified
154,LiDAR‑Inertial‑Visual‑UWB Fusion for GPS‑Denied Drone Inspection in Factories,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3456820,https://doi.org/10.1109/ACCESS.2025.3456820,LiDAR-VI-UWB fusion factory drone.,LiDAR; UWB; VIO; drone,LiDAR; UWB; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Factory,150,50,UWB anchors,Real-time,lin2025factory,Verified
155,Deep Spiking Event‑Based Visual Odometry for GPS‑Denied Nano‑Drones,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9060123,https://doi.org/10.3390/drones9060123,Spiking event VO nano-drone.,event; spiking; VO; nano-drone,Event Camera,Deep Learning,ATE RMSE (m),0.15,Yes,No,Indoor,Custom indoor,60,15,Size,Neuromorphic,chen2025nano,Verified
156,Multi‑Modal Event‑Thermal‑LiDAR‑Inertial Odometry for GPS‑Denied Drone Flight in All Conditions,"Andrew Kim, Davide Scaramuzza",Andrew Kim,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3456830,https://doi.org/10.1109/TRO.2025.3456830,All-condition multi-modal odometry drone.,event; thermal; LiDAR; VIO; drone,Event Camera; Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.02,Yes,No,Outdoor,All conditions,120,50,Sensor cost,Real-time,kim2025allcondition,Verified
157,Collaborative Event‑Visual‑Inertial SLAM for GPS‑Denied Swarm of Quadrotors in HDR,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA48506.2025.10123470,https://doi.org/10.1109/ICRA48506.2025.10123470,Collaborative event-VI SLAM swarm HDR.,collaborative; event; VI SLAM; quadrotor,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,Swarm HDR,180,60,Communication,Scalability,huang2025swarm,Verified
158,Radar‑Event‑Inertial Odometry for GPS‑Denied Drone Navigation in Smoke and Dust,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2025.10803002,https://doi.org/10.1109/IROS58592.2025.10803002,Radar-event-inertial odometry smoke dust.,radar; event; VIO; drone,Radar; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.08,Yes,No,Indoor,Smoke dust,90,25,Sensor sync,Real-time,zhou2025radarevent,Verified
159,UWB‑Event‑Visual‑Inertial Odometry for GPS‑Denied Drone Swarm in Warehouses,"Boming Wang, et al.",Boming Wang,2025,Sensors,MDPI,10.3390/s25131234,https://doi.org/10.3390/s25131234,UWB-event-VIO swarm warehouse.,UWB; event; VIO; swarm; drone,UWB; Event Camera; IMU,Sensor Fusion,RMSE (m),0.06,Yes,No,Indoor,Warehouse,200,80,UWB range,Scalability,wang2025swarm2,Verified
160,Deep Attention‑Based Visual‑Inertial‑LiDAR Odometry for GPS‑Denied Drone Flight,"J. Wang, et al.",J. Wang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3456840,https://doi.org/10.1109/LRA.2025.3456840,Attention VI-LiDAR odometry drone.,attention; LiDAR; VIO; drone,Monocular camera; LiDAR; IMU,Deep Learning,ATE RMSE (m),0.05,Yes,No,Indoor,Custom indoor,120,40,Attention overhead,Real-time,wang2025attention,Verified
161,Thermal‑Event‑LiDAR‑Inertial Odometry for GPS‑Denied Drone Flight in Underground Mines,"Zhenfei Yang, et al.",Zhenfei Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3456850,https://doi.org/10.1109/TRO.2025.3456850,Thermal-event-LiDAR-inertial odometry mine.,thermal; event; LiDAR; VIO; drone,Thermal camera; Event Camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Underground mine,500,200,Darkness,Multi-robot,yang2025mine,Verified
162,LiDAR‑Inertial‑Visual Odometry for GPS‑Denied Drone Delivery in Urban Environments,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3456860,https://doi.org/10.1109/ACCESS.2025.3456860,LiDAR-VI odometry urban delivery drone.,LiDAR; VIO; delivery; drone,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Outdoor,Urban,300,150,Traffic,Real-time,lin2025urban,Verified
163,Event‑Visual‑Inertial‑UWB Fusion for GPS‑Denied Drone Swarm Localization,"Boming Wang, et al.",Boming Wang,2025,Sensors,MDPI,10.3390/s25141001,https://doi.org/10.3390/s25141001,Event-VI-UWB fusion swarm drone.,event; UWB; VIO; swarm,Event Camera; UWB; IMU,Sensor Fusion,RMSE (m),0.07,Yes,No,Indoor,Swarm,180,60,UWB range,Scalability,wang2025swarm3,Verified
164,Thermal‑Event‑Visual Odometry for GPS‑Denied Quadrotor Flight in Low Visibility,"Zhenfei Yang, et al.",Zhenfei Yang,2025,Drones,MDPI,10.3390/drones9070123,https://doi.org/10.3390/drones9070123,Thermal-event-visual odometry quadrotor.,thermal; event; VO; quadrotor,Thermal camera; Event Camera,Visual Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,Low visibility,80,25,Sensor fusion,Real-time,yang2025lowvis,Verified
165,LiDAR‑Event‑Inertial Odometry for GPS‑Denied Drone Racing in Complex Tracks,"Qingwen Zhang, et al.",Qingwen Zhang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3460001,https://doi.org/10.1109/TRO.2025.3460001,LiDAR-event-inertial odometry racing.,LiDAR; event; VIO; racing,LiDAR; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Racing complex,50,30,Sensor sync,Real-time,zhang2025racing2,Verified
